Index;Labels;Section;Subsection
8a;Wavy band,thick,horizontal panel;strokes and lines;lines
8b;Wavy band,various filling ornaments,horizontal panel;strokes and lines;lines
8c;Wavy band,various filling ornaments,horizontal panel;strokes and lines;lines
8d;Wavy band,various filling ornaments,horizontal panel;strokes and lines;lines
8e;Wavy band,double,horizontal panel;strokes and lines;lines
8f;Wavy band,triple,horizontal panel;strokes and lines;lines
8g;Wavy band,multiple,horizontal panel;strokes and lines;lines
9a;Wave band,steep,some with filling ornaments,horizontal panel;strokes and lines;lines
9b;Wave band,steep,some with filling ornaments,horizontal panel;strokes and lines;lines
9c;Wave band,steep,some with filling ornaments,horizontal panel;strokes and lines;lines
9d;Wave band,steep,hatched,horizontal panel;strokes and lines;lines
9e;Wave band,steep,hatched,horizontal panel;strokes and lines;lines
10a;Half moons,horizontal panel;strokes and lines;lines
10b;Half moons,pendent,horizontal panel;strokes and lines;lines
10c;"Double hooks (""lightning""),single,horizontal panel";strokes and lines;lines
10d;Pairs of double hooks,horizontal panel;strokes and lines;lines
10e;Double hooks,parallel,horizontal panel;strokes and lines;lines
11a;Rectangles,concentric,the innermost solid,metopal;rectangular ornaments;rectangle
11b;Rectangles,concentric,as filling ornament;rectangular ornaments;rectangle
11c;Rectangles,concentric,as filling ornament;rectangular ornaments;rectangle
11d;"Rectangles,set into each other (""coffer""),various ornaments";rectangular ornaments;rectangle
11e;"Rectangles,set into each other (""coffer""),various ornaments";rectangular ornaments;rectangle
11f;"Rectangles,set into each other (""coffer""),various ornaments";rectangular ornaments;rectangle
11g;Square,enclosing St. George's cross,triple lines;rectangular ornaments;rectangle
11h;Square,dotted quarters,as filling ornament;rectangular ornaments;rectangle
11i;Rectangle,one cross-bar,as filling ornament;rectangular ornaments;rectangle
11j;Square,cross-hatched,as filling ornament;rectangular ornaments;rectangle
11k;Rectangle,cross-hatched,vertical panel;rectangular ornaments;rectangle
12a;Checkerboard,hatched,empty centre,metopal;rectangular ornaments;rectangle
12b;Latticed checkerboard,cruciform,metopal;rectangular ornaments;rectangle
12c;Latticed checkerboard,cruciform,metopal;rectangular ornaments;rectangle
12d;Latticed checkerboard,cruciform,metopal;rectangular ornaments;rectangle
12e;Wolftooth and cross-hatched checkerboard,in a double-decker metope;rectangular ornaments;rectangle
12f;Three stars,eight-pointed,in a double-decker metope;rectangular ornaments;rectangle
13a;Checkerboard,horizontal panel;rectangular ornaments;rectangle
13b;Checkerboard,vertical panel;rectangular ornaments;rectangle
13c;Dotted checkerboard,vertical panel;rectangular ornaments;rectangle
13d;Checkerboard,hatched,vertical panel;rectangular ornaments;rectangle
13e;Checkerboard,cross-hatched,horizontal panel;rectangular ornaments;rectangle
13f;Checkerboard,horizontal hatching,horizontal panel;rectangular ornaments;rectangle
13g;Checkerboard,simplified,horizontal panel;rectangular ornaments;rectangle
13h;Checkerboard,simplified,vertical panel;rectangular ornaments;rectangle
14a;Concentric rectangles,enclosing hour-glass,neck ornament;rectangular ornaments;rectangle
14b;St. Andrew's cross with latticed/dotted/stacked chevrons;rectangular ornaments;rectangle
14c;St. Andrew's cross with latticed/dotted/stacked chevrons;rectangular ornaments;rectangle
14d;St. Andrew's cross with latticed/dotted/stacked chevrons;rectangular ornaments;rectangle
14e;St. Andrew's cross with latticed/dotted/stacked chevrons;rectangular ornaments;rectangle
14f;St. Andrew's cross,spandrels differently hatched,metopal;rectangular ornaments;rectangle
14g;St. Andrew's cross with latticed and checkerboarded chevrons,metopal;rectangular ornaments;rectangle
14h;Saltire square;rectangular ornaments;rectangle
14i;Saltire square with dots,as filling and shoulder ornament;rectangular ornaments;rectangle
14j;Saltire square with dots,as filling and shoulder ornament;rectangular ornaments;rectangle
14k;Square,doubled diagonals,as filling ornaments;rectangular ornaments;rectangle
15a;Various ornaments,horizontally stacked,metopal;rectangular ornaments;rectangle
15b;T-shaped filling ornament;rectangular ornaments;rectangle
15c;T-shaped filling ornament;rectangular ornaments;rectangle
16a;Quatrefoil,hatched,metopal;rectangular ornaments;rosette
16b;Quatrefoil,hatched,metopal;rectangular ornaments;rosette
16c;Quatrefoil,cross-hatched,metopal;rectangular ornaments;rosette
16d;Quatrefoil,hatched,with central dotted circle,metopal;rectangular ornaments;rosette
16e;Quatrefoil,hatched,with central dotted circle,metopal;rectangular ornaments;rosette
16f;Quatrefoil,hatched,double outline,metopal;rectangular ornaments;rosette
16g;Quatrefoil,solid,double outline,metopal;rectangular ornaments;rosette
16h;Quatrefoil,simple lines,single or double outline,metopal;rectangular ornaments;rosette
16i;Quatrefoil,simple lines,single or double outline,metopal;rectangular ornaments;rosette
16j;Quatrefoil,hatched,on stalks,metopal;rectangular ornaments;rosette
16k;Quatrefoil,reserved,background cross-hatched,metopal;rectangular ornaments;rosette
16l;Quatrefoil,reserved,background dotted,metopal;rectangular ornaments;rosette
16m;Quatrefoil,reserved,background dotted,metopal;rectangular ornaments;rosette
17a;Dotted quatrefoil with quartered lozenges,metopal;rectangular ornaments;rosette
17b;Quatrefoil,strong lines,as filling ornament;rectangular ornaments;rosette
17c;Quatrefoil,solid,surrounded by half-moons;rectangular ornaments;rosette
17d;Double-halfmoon ornament,metopal;rectangular ornaments;rosette
17e;Hexafoil,hatched or doubled,metopal;rectangular ornaments;rosette
17f;Octofoil,hatched,metopal;rectangular ornaments;rosette
17g;Octofoil,hatched,metopal;rectangular ornaments;rosette
17h;Octofail,reserved,background hatched,metopal;rectangular ornaments;rosette
18a;Battlement,hatched,horizontal panel;rectangular ornaments;battlements
18b;Battlement,hatched,horizontal panel;rectangular ornaments;battlements
18c;Battlement,hatched,vertical panel;rectangular ornaments;battlements
18d;Battlement,parallel cross-hatching,horizontal panel;rectangular ornaments;battlements
18e;Battlement,zigzag-filled,horizontal panel;rectangular ornaments;battlements
18f;Battlement,hatched,and checked bars,horizontal panel;rectangular ornaments;battlements
18g;Battlement and bars,hatched,vertical panel;rectangular ornaments;battlements
18h;Battlement,dotted,horizontal panel;rectangular ornaments;battlements
19a;Battlement,multiple outline,horizontal panel;rectangular ornaments;battlements
19b;Battlement,multiple outline,horizontal panel;rectangular ornaments;battlements
19c;Battlement,multiple outline,horizontal panel;rectangular ornaments;battlements
19d;Battlement,multiple outline,vertical panel;rectangular ornaments;battlements
19e;Battlement,dots in the interspaces,horizontal panel;rectangular ornaments;battlements
19f;Battlement,multiple outline,single link;rectangular ornaments;battlements
19g;Battlement,single line,horizontal panel;rectangular ornaments;battlements
19h;Battlement,high and slim,single line,horizontal panel;rectangular ornaments;battlements
20a;Battlement,double,hatched,horizontal panel;rectangular ornaments;battlements
20b;Battlement,double,hatched,rectilinear hooks attached,horizontal panel;rectangular ornaments;battlements
20c;Multiple battlement,hatched,vertical arrangement (frgt.);rectangular ornaments;battlements
20d;Gear-pattern,in a cross-hatched field,horizontal panel;rectangular ornaments;battlements
20e;Gear-pattern,hatched,horizontal panel;rectangular ornaments;battlements
20f;Gear-pattern,hatched,vertical panel;rectangular ornaments;battlements
20g;Battlement,formed by groups of bars,horizontal panel;rectangular ornaments;battlements
20h;Gear-pattern,horizontal panel;rectangular ornaments;battlements
20i;Gear-pattern,vertical panel;rectangular ornaments;battlements
21a;Meander,turning to left,hatched,horizontal panel;rectangular ornaments;meander
21b;Meander,turning to left,hatched,horizontal panel;rectangular ornaments;meander
21c;Meander,turning to left,hatched,single link;rectangular ornaments;meander
21d;Meander,turning to left,hatched,single link;rectangular ornaments;meander
21e;Meander,turning to left,hatched at right angles,horizontal panel;rectangular ornaments;meander
21f;Meander,turning to left,cross-hatched at right angles,horizontal panel;rectangular ornaments;meander
21g;Meander,turning to left,cross-hatched,horizontal panel;rectangular ornaments;meander
21h;Meander,turning to left or right,hatched,vertical panel;rectangular ornaments;meander
21i;Meander,turning to left or right,hatched,vertical panel;rectangular ornaments;meander
21j;Meander,chain of separate links turning to left,hatched,vertical panel;rectangular ornaments;meander
22a;Meander,turning to left,hatched,and meander hooks,solid,horizontal panel;rectangular ornaments;meander
22b;Meander,turning to left,dotted,horizontal panel;rectangular ornaments;meander
22c;Meander,turning to left,single line,horizontal panel;rectangular ornaments;meander
23a;Meander,turning to right,hatched,horizontal panel;rectangular ornaments;meander
23b;Meander,turning to right,hatched,single link;rectangular ornaments;meander
23c;Meander,turning to right,cross-hatched,horizontal panel;rectangular ornaments;meander
23d;Meander,turning to right,cross-hatched,single link;rectangular ornaments;meander
23e;Meander,turning to right,double lines without hatching,horizontal panel;rectangular ornaments;meander
23f;Meander,turning to right,single line,horizontal panel;rectangular ornaments;meander
23g;Meander,chain of separate links,single line,horizontal panel;rectangular ornaments;meander
24a;Meander,double,hatched,horizontal panel;rectangular ornaments;meander
24b;Meander,double,as fig. 24a but reversed,horizontal panel;rectangular ornaments;meander
24c;Meander,double,as fig. 24a but inverted,horizontal panel;rectangular ornaments;meander
24d;Meander,double,as fig. 24b but inverted,horizontal panel;rectangular ornaments;meander
24e;"""Enclosed"" meander,turning to right,hatched,horizontal panel";rectangular ornaments;meander
24f;Two meanders,intertwined,hatched,horizontal panel;rectangular ornaments;meander
25a;Meander,double,hatched,horizontal panel;rectangular ornaments;meander
25b;Meander,triple,hatched,horizontal panel;rectangular ornaments;meander
25c;Meander,triple,hatched,horizontal panel;rectangular ornaments;meander
25d;Meander,quadruple,hatched,horizontal panel;rectangular ornaments;meander
26a;Multiple meander,hatched,horizontal panel;rectangular ornaments;meander
26b;Step meander,turning to left,hatched,horizontal panel;rectangular ornaments;meander
26c;Step meander,turning to right,hatched,horizontal panel;rectangular ornaments;meander
26d;Step meander,turning to right,single lines,horizontal panel;rectangular ornaments;meander
27a;Meander with an additional downward turn,hatched,horizontal panel;rectangular ornaments;meander
27b;Meander,hatched,in detached winds,horizontal panel;rectangular ornaments;meander
27c;Meander and battlement pattern,alternating,hatched,horizontal panel;rectangular ornaments;meander
27d;Meander and battlement pattern,hatched,single pair;rectangular ornaments;meander
27e;Meander and two opposed battlements,alternating,hatched,horizontal panel;rectangular ornaments;meander
27f;Meander and swastika,alternating,hatched,horizontal panel;rectangular ornaments;meander
27g;Two meanders,turning to left,hatched,stacked and connected,horizontal panel;rectangular ornaments;meander
28a;T-meander,hatched,horizontal panel;rectangular ornaments;meander
28b;T-meander,hatched,inverted,horizontal panel;rectangular ornaments;meander
28c;Meander hooks,hatched,horizontal panel;rectangular ornaments;meander
28d;Meander hooks,hatched,horizontal panel;rectangular ornaments;meander
28e;Meander hooks,hatched,horizontal panel;rectangular ornaments;meander
28f;Meander hooks,hatched,vertical panel;rectangular ornaments;meander
28g;Meander hooks,hatched,single pair,metopal;rectangular ornaments;meander
28h;Meander hooks,hatched,single pair,metopal;rectangular ornaments;meander
28i;Meander hooks,hatched,vertical beams to fill remaining space;rectangular ornaments;meander
28j;Meander hooks,reserved,background cross-hatched,single pair;rectangular ornaments;meander
28k;Meander hooks,single line,horizontal panel;rectangular ornaments;meander
29a;Hatched hooks,horizontal panel;rectangular ornaments;meander
29b;Hooks,meander-like,horizontal panel;rectangular ornaments;meander
29c;Hooks,meander-like,horizontal panel;rectangular ornaments;meander
29d;Hatched meander-like hooks,horizontal panel;rectangular ornaments;meander
29e;Z-shaped hooks,hatched,horizontal panel;rectangular ornaments;meander
29f;Z-shaped hooks,hatched,vertical panel;rectangular ornaments;meander
30a;Meander hooks,opposed,hatched,continuous repetition,horizontal panel;rectangular ornaments;meander
30b;Meander hooks,alternately attached at top and bottom,hatched,horizontal panel;rectangular ornaments;meander
30c;Meander hooks,standing,hatched,horizontal panel;rectangular ornaments;meander
30d;Meander hooks,pendent,single lines,horizontal panel;rectangular ornaments;meander
30e;Meander hooks,pendent,single lines,horizontal panel;rectangular ornaments;meander
30f;Meander hooks,alternatively standing and pendent,single lines,horizontal panel;rectangular ornaments;meander
31a;Meander-type ornament,hatched,horizontal panel;rectangular ornaments;meander
31b;Chain of meander-type ornaments,hatched,horizontal panel;rectangular ornaments;meander
31c;Meander-type ornament,hatched,single link;rectangular ornaments;meander
31d;Meander-like pattern,hatched,horizontal panel;rectangular ornaments;meander
31e;"""Double trident"" hatched,horizontal panel";rectangular ornaments;meander
31f;Ornament in the sape of a two-sided 'comb',hatched,horizontal panel;rectangular ornaments;meander
31g;Ornament type de méandre,hachuré,panneau horizontal;rectangular ornaments;meander
31h;Meander tree;rectangular ornaments;meander
32a;Swastika,hatched,metopal;rectangular ornaments;swastika
32b;Swastika,hatched,metopal;rectangular ornaments;swastika
32c;Swastika,hatched,metopal;rectangular ornaments;swastika
32d;Swastika,hatched,metopal;rectangular ornaments;swastika
32e;Swastika,hatched,metopal;rectangular ornaments;swastika
32f;Swastika,dotted,metopal;rectangular ornaments;swastika
32g;Swastika,single line,metopal;rectangular ornaments;swastika
32h;Swastika,outlined,strong lines,as filling ornament;rectangular ornaments;swastika
32i;Swastika,single lines,filling ornament;rectangular ornaments;swastika
33a;Swastika,hatched,metopal;rectangular ornaments;swastika
33b;Swastika,hatched,metopal;rectangular ornaments;swastika
33c;Swastika,cross-hatched,metopal;rectangular ornaments;swastika
33d;Swastika,single lines,horizontal panel;rectangular ornaments;swastika
33e;Swastika,single lines,filling ornament;rectangular ornaments;swastika
33f;Swastika with acute-angled hooks,single lines,filling ornament;rectangular ornaments;swastika
34a;Hooked swastika,hatched,turning to left,metopal;rectangular ornaments;swastika
34b;Swastika with meander-like arms,hatched,turning to left,metopal;rectangular ornaments;swastika
34c;Hooked swastika,hatched,turning to right,metopal;rectangular ornaments;swastika
34d;Hooked swastika,hatched,turning to right,metopal;rectangular ornaments;swastika
34e;Hooked swastika,hatched,turning to right,metopal;rectangular ornaments;swastika
34f;Hooked swastika,single lines,turning to right,metopal;rectangular ornaments;swastika
34g;Cross,outlined,as filling ornament;rectangular ornaments;swastika
35a;Lozenge chain,horizontal panel;lozenge;lozenge chains
35b;Lozenge net,two-tiered,horizontal panel;lozenge;lozenge chains
35c;Lozenge chain,careless,horizontal panel;lozenge;lozenge chains
35d;Lozenge chain,vertical panel;lozenge;lozenge chains
35e;Lozenges,horizontal chain,filling ornament;lozenge;lozenge chains
35f;Lozenges,vertical chain,filling ornament;lozenge;lozenge chains
35g;Quartered lozenge,as filling ornament;lozenge;lozenge chains
36a;Lozenge chain,dotted,horizontal panel;lozenge;lozenge chains
36b;Dotted lozenge chain between rows of cross-hatched triangles pointing outwards;lozenge;lozenge chains
36c;As fig. 36b: vertical bars on the apices of the lozenges;lozenge;lozenge chains
36d;Lozenge chain,dotted,vertical panel;lozenge;lozenge chains
36e;Lozenge chain,dotted,vertical panel;lozenge;lozenge chains
36f;Parallel lozenge chains,dotted,vertical panel;lozenge;lozenge chains
36g;Lozenges,dotted,spaced,horizontal panel;lozenge;lozenge chains
36h;Chain of leaf lozenges,dotted,slack row,horizontal panel;lozenge;lozenge chains
36i;Lozenge,dotted,as filling ornament;lozenge;lozenge chains
36j;Lozenge chain,dotted,as filling ornament;lozenge;lozenge chains
36k;Quartered lozenge, dotted,as filling ornament;lozenge;lozenge chains
36l;Quartered lozenge, dotted,as filling ornament;lozenge;lozenge chains
36m;Quartered lozenge, dotted,as filling ornament;lozenge;lozenge chains
37a;Chain of double lozenges,vertical panel;lozenge;lozenge chains
37b;Chain of double lozenges,triangles outside,vertical panel;lozenge;lozenge chains
37c;Chain of triple lozenges,vertical panel;lozenge;lozenge chains
37d;Lozenge chain,multiple outline,vertical panel;lozenge;lozenge chains
37e;Two-tiered net of double lozenges,bars at apices,horizontal panel;lozenge;lozenge chains
37f;Three-tiered net of double lozenges,horizontal panel;lozenge;lozenge chains
37g;Lozenge in double outline,filling ornament;lozenge;lozenge chains
37h;Chain of double lozenges,dots without,vertical panel;lozenge;lozenge chains
37i;Net of double lozenges,three-tiered,separate metopes;lozenge;lozenge chains
37j;Lozenge net,enclosing solid lozenges,metopal;lozenge;lozenge chains
38a;Lozenge chain,dots within and without,horizontal panel;lozenge;lozenge chains
38b;Lozenge chain,dots within and without,vertical panel;lozenge;lozenge chains
38c;Lozenge net,four-tiered,dotted,horizontal panel;lozenge;lozenge chains
38d;Chain of double lozenges,dotted,dots in field,horizontal panel;lozenge;lozenge chains
38e;Chain of double lozenges,dotted,vertical panel;lozenge;lozenge chains
38f;Chain of double lozenges,dotted,latticed triangles in field,horizontal panel;lozenge;lozenge chains
38g;Detached triple-outline lozenges in reserved panel,horizontal panel;lozenge;lozenge chains
38h;Double lozenge,dotted,filling ornament;lozenge;lozenge chains
38i;Quatered lozenge,enclosing small dotted lozenges,as filling ornament;lozenge;lozenge chains
39a;Lozenge chain,horizontally hatched,horizontal panel;lozenge;lozenge chains
39b;Lozenge chain,hatched,horizontal panel;lozenge;lozenge chains
39c;Lozenge chain,hatched,vertical panel;lozenge;lozenge chains
39d;Row of lozenges,floating,cross-hatched,horizontal panel;lozenge;lozenge chains
39e;Row of lozenges,floating,cross-hatched,horizontal panel;lozenge;lozenge chains
39f;Lozenge chain,cross-hatched,horizontal panel;lozenge;lozenge chains
39g;Lozenge chain,cross-hatched,vertical panel;lozenge;lozenge chains
39h;Lozenges,cross-hatched,between vertical bars,horizontal panel;lozenge;lozenge chains
39i;Lozenge,cross-hatched,as filling ornament;lozenge;lozenge chains
39j;Lozenge,cross-hatched,as filling ornament;lozenge;lozenge chains
40a;Lozenge chain,cross-hatched,with dots at the sides,horizontal panel;lozenge;lozenge chains
40b;Lozenge chain,cross-hatched,with dots at the sides,vertical panel;lozenge;lozenge chains
40c;Lozenge chain,cross-hatched,with solid triangles in field,horizontal panel;lozenge;lozenge chains
40d;Lozenge chain,cross-hatched,with solid triangles in field,vertical panel;lozenge;lozenge chains
40e;Lozenge chain,cross-hatched,double outline,horizontal panel;lozenge;lozenge chains
40f;Lozenges in double outline,cross-hathed,as metopes;lozenge;lozenge chains
40g;Lozenge chain,cross-hatched,triple outline,vertical panel;lozenge;lozenge chains
40h;Lozenge chain,enclosing circle of tangential blobs,double outline,horizontal panel;lozenge;lozenge chains
40i;Chain of double lozenges,centres quartered,linked by double chevrons,horizontal panel;lozenge;lozenge chains
40j;Chain of quartered and dotted lozenges,with triangles stacked in field,horizontal panel;lozenge;lozenge chains
41a;Detached lozenges,cross-hatched,four in a metope;lozenge;lozenge chains
41b;Lozenge and triangles,cross-hatched,metopal;lozenge;lozenge chains
41c;Diagonal check pattern,cross-hatched,metopal;lozenge;lozenge chains
41d;Lozenge chain,cross-hatched,rectilinear hooks above and below,vertical panel;lozenge;lozenge chains
41e;Lozenge chain,cross-hatched,with rectilinear hooks,vertical panel;lozenge;lozenge chains
42a;Lozenge chain,cross-hatched and checkerboarded,horizontal panel;lozenge;lozenge chains
42b;Lozenge chain,cross-hatched and checked,vertical panel;lozenge;lozenge chains
42c;Lozenge chain,checkerboarded,triple outline and solid spandrels,vertical panel;lozenge;lozenge chains
42d;Chain of lozenges,checked and hatched centres,horizontal panel;lozenge;lozenge chains
42e;Tapestry pattern (lozenge net. Various fillings);lozenge;lozenge chains
42f;Tapestry pattern (lozenge net. Various fillings);lozenge;lozenge chains
43a;Diagonal checkerboard,cross-hatched,metopal;lozenge;lozenge chains
43b;Chain of diagonal checkerboards,cross-hatched,horizontal panel;lozenge;lozenge chains
43c;Chain of diagonal checkerboards,empty centres,horizontal panel;lozenge;lozenge chains
43d;Massed lozenge net like a diagonal checkerboard,cross-hatched,vertical panel;lozenge;lozenge chains
43e;Lozenge chain,solid,horizontal panel;lozenge;lozenge chains
43f;Lozenge chain,solid,vertical panel;lozenge;lozenge chains
43g;Checked lozenge net,solid,vertical panel;lozenge;lozenge chains
43h;Checked lozenge,as filling ornament;lozenge;lozenge chains
43i;Checked lozenge,as filling ornament;lozenge;lozenge chains
44a;Lozenge,triple outline,cross-hatched centre,metopal;lozenge;lozengle single
44b;Lozenge,hatched,with central dot or cross,metopal;lozenge;lozengle single
44c;Lozenge,hatched,with central dot or cross,metopal;lozenge;lozengle single
44d;Lozenge,double outline,enclosing hatching and checkerboard,metopal;lozenge;lozengle single
44e;Lozenge,double outline,enclosing hatching and checkerboard,metopal;lozenge;lozengle single
44f;Lozenge,double outline,enclosing hatching and checkerboard,metopal;lozenge;lozengle single
44g;Quartered and dotted lozenge,double outline,metopal;lozenge;lozengle single
44h;Quartered lozenge,enclosing cross-hatched lozenges,metopal;lozenge;lozengle single
44i;Quartered lozenge,enclosing cross-hatched lozenges,metopal;lozenge;lozengle single
44j;Lozenge,underlying a St. Andrew's cross,hatched double outline,dotted lozenges in quarters,metopal;lozenge;lozengle single
44k;Lozenge,underlying a St. Andrew's cross, solid lozenges in quarters, metopal;lozenge;lozengle single
44l;Lozenge star,metopal;lozenge;lozengle single
44m;Lozenge star,metopal;lozenge;lozengle single
44n;Lozenge star,much schematized,as filling ornament;lozenge;lozengle single
44o;Lozenge star,much schematized,as filling ornament;lozenge;lozengle single
44p;Lozenge star,much schematized,as filling ornament;lozenge;lozengle single
44q;Lozenge star,much schematized,as filling ornament;lozenge;lozengle single
45a;Lozenge-cross with rectilinear hooks;lozenge;lozengle single
45b;Lozenge-cross with rectilinear hooks;lozenge;lozengle single
45c;Lozenge-cross with rectilinear hooks;lozenge;lozengle single
45d;Lozenge-cross with rectilinear hooks;lozenge;lozengle single
45e;Lozenge-cross with rectilinear hooks;lozenge;lozengle single
46a;Arrow,pointing upwards;triangular ornaments;triangles
46b;Double triangle,enclosing St. Andrew's cross,shoulder ornament;triangular ornaments;triangles
46c;Two overlapping,differently inclined triangles,metopal;triangular ornaments;triangles
46d;Triangle,in the shape of intersecting groups of oblique lines,metopal;triangular ornaments;triangles
46e;Triangles,simple outline,spaced and pendent,horizontal panel;triangular ornaments;triangles
46f;Concentric triangles,standing,horizontal panel;triangular ornaments;triangles
46g;Concentric triangles,standing,horizontal panel;triangular ornaments;triangles
46h;Concentric triangles,reserved,shoulder ornament;triangular ornaments;triangles
46i;Concentric triangles,pendent,horizontal panel;triangular ornaments;triangles
46j;Concentric triangles,pendent,with hatching below,horizontal panel;triangular ornaments;triangles
46k;Triangle,hatched triple outline,horizontal panel;triangular ornaments;triangles
47a;Triangles,hatched,horizontal panel;triangular ornaments;triangles
47b;Triangle,hatched filling ornament;triangular ornaments;triangles
47c;Triangles,hatched,rectilinear hooks on apices,horizontal panel;triangular ornaments;triangles
47d;Triangles,hatched,with bars at apices,horizontal panel;triangular ornaments;triangles
47e;Triangles,simplified version of the previous,horizontal panel;triangular ornaments;triangles
47f;Triangles,simplified version of the previous,horizontal panel;triangular ornaments;triangles
47g;Triangles,hatched,pendent,horizontal panel;triangular ornaments;triangles
47h;Triangles,cross-hatched,horizontal panel;triangular ornaments;triangles
47i;Triangles,cross-hatched,horizontal panel;triangular ornaments;triangles
47j;Triangles,cross-hatched,vertical panel;triangular ornaments;triangles
47k;Triangle,cross-hatched,upright,as filling ornament;triangular ornaments;triangles
47l;Triangles,cross-hatched,pendent,horizontal panel;triangular ornaments;triangles
47m;Triangle,cross-hatched,pendent,as filling ornament;triangular ornaments;triangles
48a;Triangles,double outline,hatched,horizontal panel;triangular ornaments;triangles
48b;Triangles,double outline,cross-hatched,horizontal panel;triangular ornaments;triangles
48c;Triangle,double outline,cross-hatched,as filling ornament;triangular ornaments;triangles
48d;Triangles,double outline,hatching in form of checkerboard,horizontal panel;triangular ornaments;triangles
48e;Triangles,double outline,cross-hatched,pendent,horizontal panel;triangular ornaments;triangles
48f;Triangle,cross-hatched with zigzag border,horizontal panel;triangular ornaments;triangles
48g;Triangles,triple outline,cross-hatched,horizontal panel;triangular ornaments;triangles
48h;Triangles,triple outline,cross-hatched,horizontal panel;triangular ornaments;triangles
49a;Triangle,cross-hatched,with triple outline,shoulder ornament;triangular ornaments;triangles
49b;Triangle,cross-hatched,with triple outline,shoulder ornament;triangular ornaments;triangles
49c;Triangle,hatching in form of checkerboard,shoulder ornament;triangular ornaments;triangles
49d;Triangle,cross-hatching in form of checkerboard,shoulder ornament;triangular ornaments;triangles
49e;Triangle,cross-hatching in form of checkerboard,shoulder ornament;triangular ornaments;triangles
49f;Triangle,form-square cross-hatching,shoulder ornament;triangular ornaments;triangles
