Fold  0
Nombre del experimento: 26L_weighted_1
--Pattern set encontrado en ../patterns\base\0
--Labels set encontrado en ../labels\base\0

Los resultados se guardarán en: ../outputs\alexnet\base\26L_weighted_1\0
Los modelos se guardarán en: ../models\alexnet\base\0
Fold  1
Nombre del experimento: 26L_weighted_1
--Pattern set encontrado en ../patterns\base\1
--Labels set encontrado en ../labels\base\1

Los resultados se guardarán en: ../outputs\alexnet\base\26L_weighted_1\1
Los modelos se guardarán en: ../models\alexnet\base\1
Fold  2
Nombre del experimento: 26L_weighted_1
--Pattern set encontrado en ../patterns\base\2
--Labels set encontrado en ../labels\base\2

Los resultados se guardarán en: ../outputs\alexnet\base\26L_weighted_1\2
Los modelos se guardarán en: ../models\alexnet\base\2
Fold  3
Nombre del experimento: 26L_weighted_1
--Pattern set encontrado en ../patterns\base\3
--Labels set encontrado en ../labels\base\3

Los resultados se guardarán en: ../outputs\alexnet\base\26L_weighted_1\3
Los modelos se guardarán en: ../models\alexnet\base\3
Usando device: NVIDIA GeForce GTX 1060
Usando top_labels previamente generados para 26 labels
Train Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 4.2482, Accuracy: 0.3575, F1 score: 0.2538, HS: 0.1473
Train Trial [6/200], LR: 0.001, W: 0.01, Avg Loss: 2.1166, Accuracy: 0.4739, F1 score: 0.3188, HS: 0.1993
Valid Trial [6/200], LR: 0.001, W: 0.01, Avg Loss: 2.8798, Accuracy: 0.4260, F1 score: 0.2937, HS: 0.1774

Train Trial [7/200], LR: 0.001, W: 0.01, Avg Loss: 1.9659, Accuracy: 0.4283, F1 score: 0.3024, HS: 0.1856
Valid Trial [7/200], LR: 0.00075, W: 0.01, Avg Loss: 2.8765, Accuracy: 0.5306, F1 score: 0.3361, HS: 0.2105

Train Trial [8/200], LR: 0.00075, W: 0.01, Avg Loss: 1.8764, Accuracy: 0.5272, F1 score: 0.3453, HS: 0.2175
Valid Trial [8/200], LR: 0.00075, W: 0.01, Avg Loss: 3.0203, Accuracy: 0.5370, F1 score: 0.3336, HS: 0.2193

Train Trial [9/200], LR: 0.00075, W: 0.01, Avg Loss: 1.6516, Accuracy: 0.5483, F1 score: 0.3568, HS: 0.2344
Valid Trial [9/200], LR: 0.00075, W: 0.01, Avg Loss: 2.7965, Accuracy: 0.5912, F1 score: 0.3638, HS: 0.2431

Train Trial [10/200], LR: 0.00075, W: 0.01, Avg Loss: 1.6687, Accuracy: 0.6230, F1 score: 0.3958, HS: 0.2737
Valid Trial [10/200], LR: 0.00075, W: 0.01, Avg Loss: 2.8615, Accuracy: 0.5932, F1 score: 0.3659, HS: 0.2450

Train Trial [11/200], LR: 0.00075, W: 0.01, Avg Loss: 1.6753, Accuracy: 0.6011, F1 score: 0.3856, HS: 0.2554
Valid Trial [11/200], LR: 0.00075, W: 0.01, Avg Loss: 3.1753, Accuracy: 0.5611, F1 score: 0.3456, HS: 0.2296

Train Trial [12/200], LR: 0.00075, W: 0.01, Avg Loss: 1.7433, Accuracy: 0.5739, F1 score: 0.3747, HS: 0.2456
Valid Trial [12/200], LR: 0.00075, W: 0.01, Avg Loss: 2.7342, Accuracy: 0.5976, F1 score: 0.3694, HS: 0.2478

Train Trial [13/200], LR: 0.00075, W: 0.01, Avg Loss: 1.5541, Accuracy: 0.6104, F1 score: 0.3929, HS: 0.2643
Valid Trial [13/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 2.9273, Accuracy: 0.5902, F1 score: 0.3563, HS: 0.2261

Train Trial [14/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.4915, Accuracy: 0.6374, F1 score: 0.4034, HS: 0.2735
Valid Trial [14/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 2.7542, Accuracy: 0.6810, F1 score: 0.4197, HS: 0.2934

Train Trial [15/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.4564, Accuracy: 0.6510, F1 score: 0.4203, HS: 0.2920
Valid Trial [15/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 2.9246, Accuracy: 0.6647, F1 score: 0.4025, HS: 0.2694

Train Trial [16/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.2522, Accuracy: 0.6886, F1 score: 0.4476, HS: 0.3079
Valid Trial [16/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 3.8443, Accuracy: 0.7308, F1 score: 0.4485, HS: 0.3121

Train Trial [17/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.3013, Accuracy: 0.7105, F1 score: 0.4668, HS: 0.3284
Valid Trial [17/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 2.9595, Accuracy: 0.6928, F1 score: 0.4215, HS: 0.2826

Train Trial [18/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.2584, Accuracy: 0.7321, F1 score: 0.4839, HS: 0.3450
Valid Trial [18/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 2.8313, Accuracy: 0.6933, F1 score: 0.4345, HS: 0.3071

Train Trial [19/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.2542, Accuracy: 0.6878, F1 score: 0.4498, HS: 0.3091
Valid Trial [19/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 4.2986, Accuracy: 0.7589, F1 score: 0.4656, HS: 0.3237

Train Trial [20/200], LR: 0.0004219, W: 0.01, Avg Loss: 1.2109, Accuracy: 0.7585, F1 score: 0.5095, HS: 0.3674
Valid Trial [20/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 2.9322, Accuracy: 0.6765, F1 score: 0.4079, HS: 0.2947

Train Trial [21/200], LR: 0.0004219, W: 0.01, Avg Loss: 1.1691, Accuracy: 0.6960, F1 score: 0.4578, HS: 0.3170
Valid Trial [21/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 3.4933, Accuracy: 0.7426, F1 score: 0.4596, HS: 0.3220

Train Trial [22/200], LR: 0.0004219, W: 0.01, Avg Loss: 1.1904, Accuracy: 0.7468, F1 score: 0.5025, HS: 0.3553
Valid Trial [22/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 3.3112, Accuracy: 0.6943, F1 score: 0.4238, HS: 0.2855

Train Trial [23/200], LR: 0.0004219, W: 0.01, Avg Loss: 1.1231, Accuracy: 0.7340, F1 score: 0.4890, HS: 0.3422
Valid Trial [23/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 5.2656, Accuracy: 0.7673, F1 score: 0.4673, HS: 0.3297

Train Trial [24/200], LR: 0.0004219, W: 0.01, Avg Loss: 1.1078, Accuracy: 0.7833, F1 score: 0.5404, HS: 0.3984
Valid Trial [24/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 2.8952, Accuracy: 0.7293, F1 score: 0.4548, HS: 0.3267

Train Trial [25/200], LR: 0.0004219, W: 0.01, Avg Loss: 1.0173, Accuracy: 0.7434, F1 score: 0.4999, HS: 0.3533
Valid Trial [25/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 3.5352, Accuracy: 0.7544, F1 score: 0.4668, HS: 0.3292

Train Trial [26/200], LR: 0.0003164, W: 0.01, Avg Loss: 1.0008, Accuracy: 0.7799, F1 score: 0.5374, HS: 0.3916
Valid Trial [26/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 3.7906, Accuracy: 0.7426, F1 score: 0.4574, HS: 0.3215

Train Trial [27/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.9522, Accuracy: 0.7886, F1 score: 0.5477, HS: 0.4058
Valid Trial [27/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 4.1484, Accuracy: 0.7781, F1 score: 0.4886, HS: 0.3460

Train Trial [28/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.9290, Accuracy: 0.8002, F1 score: 0.5609, HS: 0.4191
Valid Trial [28/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 3.9294, Accuracy: 0.7544, F1 score: 0.4610, HS: 0.3137

Train Trial [29/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.9279, Accuracy: 0.7956, F1 score: 0.5556, HS: 0.4056
Valid Trial [29/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 4.2916, Accuracy: 0.7786, F1 score: 0.4857, HS: 0.3437

Train Trial [30/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.8750, Accuracy: 0.8120, F1 score: 0.5760, HS: 0.4240
Valid Trial [30/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 4.5777, Accuracy: 0.8008, F1 score: 0.5085, HS: 0.3604

Train Trial [31/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.8351, Accuracy: 0.8119, F1 score: 0.5780, HS: 0.4239
Valid Trial [31/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 4.7674, Accuracy: 0.7830, F1 score: 0.4954, HS: 0.3556

Train Trial [32/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.8032, Accuracy: 0.8288, F1 score: 0.6005, HS: 0.4561
Valid Trial [32/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 4.0737, Accuracy: 0.8102, F1 score: 0.5311, HS: 0.3805

Train Trial [33/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.7652, Accuracy: 0.8343, F1 score: 0.6093, HS: 0.4580
Valid Trial [33/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 4.6519, Accuracy: 0.8136, F1 score: 0.5322, HS: 0.3743

Train Trial [34/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.6641, Accuracy: 0.8529, F1 score: 0.6373, HS: 0.4912
Valid Trial [34/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 5.0334, Accuracy: 0.8289, F1 score: 0.5523, HS: 0.4005

Train Trial [35/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.6729, Accuracy: 0.8581, F1 score: 0.6448, HS: 0.4993
Valid Trial [35/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 6.4029, Accuracy: 0.8353, F1 score: 0.5462, HS: 0.3976

Train Trial [36/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.6467, Accuracy: 0.8776, F1 score: 0.6782, HS: 0.5353
Valid Trial [36/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 6.2606, Accuracy: 0.8294, F1 score: 0.5447, HS: 0.3961

Train Trial [37/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.6243, Accuracy: 0.8543, F1 score: 0.6392, HS: 0.4961
Valid Trial [37/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 6.0550, Accuracy: 0.8264, F1 score: 0.5452, HS: 0.3950

Train Trial [38/200], LR: 0.000178, W: 0.01, Avg Loss: 0.6479, Accuracy: 0.8742, F1 score: 0.6709, HS: 0.5280
Valid Trial [38/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 5.5339, Accuracy: 0.8240, F1 score: 0.5346, HS: 0.3759

Train Trial [39/200], LR: 0.000178, W: 0.01, Avg Loss: 0.6882, Accuracy: 0.8698, F1 score: 0.6648, HS: 0.5213
Valid Trial [39/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 5.5846, Accuracy: 0.8141, F1 score: 0.5197, HS: 0.3686

Train Trial [40/200], LR: 0.000178, W: 0.01, Avg Loss: 0.6130, Accuracy: 0.8649, F1 score: 0.6562, HS: 0.5126
Valid Trial [40/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 5.3897, Accuracy: 0.8220, F1 score: 0.5354, HS: 0.3905

Train Trial [41/200], LR: 0.000178, W: 0.01, Avg Loss: 0.6731, Accuracy: 0.8678, F1 score: 0.6617, HS: 0.5134
Valid Trial [41/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 5.5691, Accuracy: 0.8378, F1 score: 0.5560, HS: 0.4044

Train Trial [42/200], LR: 0.000178, W: 0.01, Avg Loss: 0.5513, Accuracy: 0.8729, F1 score: 0.6709, HS: 0.5261
Valid Trial [42/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 5.8492, Accuracy: 0.8442, F1 score: 0.5623, HS: 0.4037

Train Trial [43/200], LR: 0.000178, W: 0.01, Avg Loss: 0.5892, Accuracy: 0.8845, F1 score: 0.6910, HS: 0.5565
Valid Trial [43/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 5.5002, Accuracy: 0.8388, F1 score: 0.5587, HS: 0.4054

Train Trial [44/200], LR: 0.0001335, W: 0.01, Avg Loss: 0.4838, Accuracy: 0.8827, F1 score: 0.6887, HS: 0.5569
Valid Trial [44/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 6.2835, Accuracy: 0.8462, F1 score: 0.5581, HS: 0.4049

Train Trial [45/200], LR: 0.0001335, W: 0.01, Avg Loss: 0.4921, Accuracy: 0.8951, F1 score: 0.7105, HS: 0.5872
Valid Trial [45/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 7.3998, Accuracy: 0.8545, F1 score: 0.5693, HS: 0.4175

Train Trial [46/200], LR: 0.0001335, W: 0.01, Avg Loss: 0.4713, Accuracy: 0.9001, F1 score: 0.7219, HS: 0.5930
Valid Trial [46/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 7.5067, Accuracy: 0.8565, F1 score: 0.5752, HS: 0.4157

Train Trial [47/200], LR: 0.0001335, W: 0.01, Avg Loss: 0.4140, Accuracy: 0.9067, F1 score: 0.7361, HS: 0.6137
Valid Trial [47/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 7.4492, Accuracy: 0.8639, F1 score: 0.5843, HS: 0.4223

Train Trial [48/200], LR: 0.0001335, W: 0.01, Avg Loss: 0.4099, Accuracy: 0.9157, F1 score: 0.7552, HS: 0.6435
Valid Trial [48/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 7.7972, Accuracy: 0.8629, F1 score: 0.5801, HS: 0.4117

Train Trial [49/200], LR: 0.0001335, W: 0.01, Avg Loss: 0.4410, Accuracy: 0.9082, F1 score: 0.7382, HS: 0.6152
Valid Trial [49/200], LR: 0.00010011291503906251, W: 0.01, Avg Loss: 7.9697, Accuracy: 0.8565, F1 score: 0.5714, HS: 0.4138

Train Trial [50/200], LR: 0.0001001, W: 0.01, Avg Loss: 0.4189, Accuracy: 0.9127, F1 score: 0.7476, HS: 0.6329
Valid Trial [50/200], LR: 0.00010011291503906251, W: 0.01, Avg Loss: 9.1977, Accuracy: 0.8728, F1 score: 0.5981, HS: 0.4301

Train Trial [51/200], LR: 0.0001001, W: 0.01, Avg Loss: 0.3972, Accuracy: 0.9208, F1 score: 0.7663, HS: 0.6553
Valid Trial [51/200], LR: 0.00010011291503906251, W: 0.01, Avg Loss: 9.0106, Accuracy: 0.8669, F1 score: 0.5884, HS: 0.4298

Train Trial [52/200], LR: 0.0001001, W: 0.01, Avg Loss: 0.4325, Accuracy: 0.9180, F1 score: 0.7596, HS: 0.6456
Valid Trial [52/200], LR: 0.00010011291503906251, W: 0.01, Avg Loss: 9.0178, Accuracy: 0.8703, F1 score: 0.5972, HS: 0.4385

Train Trial [53/200], LR: 0.0001001, W: 0.01, Avg Loss: 0.4003, Accuracy: 0.9164, F1 score: 0.7560, HS: 0.6430
Valid Trial [53/200], LR: 0.00010011291503906251, W: 0.01, Avg Loss: 9.0607, Accuracy: 0.8644, F1 score: 0.5827, HS: 0.4318

Train Trial [54/200], LR: 0.0001001, W: 0.01, Avg Loss: 0.3894, Accuracy: 0.9158, F1 score: 0.7548, HS: 0.6277
Valid Trial [54/200], LR: 0.00010011291503906251, W: 0.01, Avg Loss: 8.1724, Accuracy: 0.8614, F1 score: 0.5787, HS: 0.4181

Train Trial [55/200], LR: 0.0001001, W: 0.01, Avg Loss: 0.4072, Accuracy: 0.9222, F1 score: 0.7689, HS: 0.6529
Valid Trial [55/200], LR: 0.0001, W: 0.01, Avg Loss: 8.4801, Accuracy: 0.8679, F1 score: 0.5851, HS: 0.4248

Train Trial [56/200], LR: 0.0001, W: 0.01, Avg Loss: 0.4022, Accuracy: 0.9178, F1 score: 0.7599, HS: 0.6509
Valid Trial [56/200], LR: 0.0001, W: 0.01, Avg Loss: 8.4374, Accuracy: 0.8679, F1 score: 0.5939, HS: 0.4375

Train Trial [57/200], LR: 0.0001, W: 0.01, Avg Loss: 0.3994, Accuracy: 0.9231, F1 score: 0.7711, HS: 0.6585
Valid Trial [57/200], LR: 0.0001, W: 0.01, Avg Loss: 8.9019, Accuracy: 0.8639, F1 score: 0.5754, HS: 0.4117

Train Trial [58/200], LR: 0.0001, W: 0.01, Avg Loss: 0.4012, Accuracy: 0.9203, F1 score: 0.7652, HS: 0.6505
Valid Trial [58/200], LR: 0.0001, W: 0.01, Avg Loss: 8.4378, Accuracy: 0.8580, F1 score: 0.5727, HS: 0.4078

Train Trial [59/200], LR: 0.0001, W: 0.01, Avg Loss: 0.4257, Accuracy: 0.9112, F1 score: 0.7449, HS: 0.6156
Valid Trial [59/200], LR: 0.0001, W: 0.01, Avg Loss: 8.0600, Accuracy: 0.8605, F1 score: 0.5782, HS: 0.4117

Train Trial [60/200], LR: 0.0001, W: 0.01, Avg Loss: 0.4239, Accuracy: 0.9128, F1 score: 0.7476, HS: 0.6241
Valid Trial [60/200], LR: 0.0001, W: 0.01, Avg Loss: 9.0199, Accuracy: 0.8614, F1 score: 0.5749, HS: 0.4104

Train Trial [61/200], LR: 0.0001, W: 0.01, Avg Loss: 0.3833, Accuracy: 0.9239, F1 score: 0.7737, HS: 0.6626
Valid Trial [61/200], LR: 0.0001, W: 0.01, Avg Loss: 8.6422, Accuracy: 0.8644, F1 score: 0.5763, HS: 0.4088

Train Trial [62/200], LR: 0.0001, W: 0.01, Avg Loss: 0.3964, Accuracy: 0.9187, F1 score: 0.7613, HS: 0.6446
Valid Trial [62/200], LR: 0.0001, W: 0.01, Avg Loss: 8.1444, Accuracy: 0.8639, F1 score: 0.5818, HS: 0.4136

Out of patience!
Best epoch: 52
Guardando mejor modelo en ../models\alexnet\base\0\26L_weighted_1.pth
CURRENT BATCH SIZE:  124
CURRENT BATCH SIZE:  124
Test Trial [1/1], LR: 0.0001, W: 0.001, Avg Loss: 42.4743, Accuracy: 0.8525, F1 score: 0.5763, HS: 0.4285
Predicciones guardadas en ../outputs\alexnet\base\26L_weighted_1\0\predictions.csv
HS fold 1: 0.4302
Usando top_labels previamente generados para 26 labels
Train Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 3.6911, Accuracy: 0.3210, F1 score: 0.2284, HS: 0.1264
Valid Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 4.4235, Accuracy: 0.2894, F1 score: 0.2682, HS: 0.1545

Train Trial [1/200], LR: 0.001, W: 0.01, Avg Loss: 2.8580, Accuracy: 0.2291, F1 score: 0.2436, HS: 0.1401
Valid Trial [1/200], LR: 0.001, W: 0.01, Avg Loss: 3.9767, Accuracy: 0.2811, F1 score: 0.2746, HS: 0.1721

Train Trial [2/200], LR: 0.001, W: 0.01, Avg Loss: 2.8404, Accuracy: 0.2715, F1 score: 0.2518, HS: 0.1468
Valid Trial [2/200], LR: 0.001, W: 0.01, Avg Loss: 3.6405, Accuracy: 0.2495, F1 score: 0.2669, HS: 0.1520

Train Trial [3/200], LR: 0.001, W: 0.01, Avg Loss: 2.6259, Accuracy: 0.2363, F1 score: 0.2454, HS: 0.1412
Valid Trial [3/200], LR: 0.001, W: 0.01, Avg Loss: 3.5109, Accuracy: 0.2747, F1 score: 0.2771, HS: 0.1614

Train Trial [4/200], LR: 0.001, W: 0.01, Avg Loss: 2.4457, Accuracy: 0.2948, F1 score: 0.2604, HS: 0.1543
Valid Trial [4/200], LR: 0.001, W: 0.01, Avg Loss: 3.6673, Accuracy: 0.3417, F1 score: 0.2826, HS: 0.1663

Train Trial [5/200], LR: 0.001, W: 0.01, Avg Loss: 2.4125, Accuracy: 0.3516, F1 score: 0.2720, HS: 0.1615
Valid Trial [5/200], LR: 0.001, W: 0.01, Avg Loss: 3.8911, Accuracy: 0.3831, F1 score: 0.3007, HS: 0.1783

Train Trial [6/200], LR: 0.001, W: 0.01, Avg Loss: 2.4292, Accuracy: 0.3504, F1 score: 0.2748, HS: 0.1640
Valid Trial [6/200], LR: 0.001, W: 0.01, Avg Loss: 3.4193, Accuracy: 0.2993, F1 score: 0.2702, HS: 0.1589

Train Trial [7/200], LR: 0.001, W: 0.01, Avg Loss: 2.3233, Accuracy: 0.3962, F1 score: 0.2836, HS: 0.1717
Valid Trial [7/200], LR: 0.001, W: 0.01, Avg Loss: 3.3306, Accuracy: 0.3871, F1 score: 0.2950, HS: 0.1743

Train Trial [8/200], LR: 0.001, W: 0.01, Avg Loss: 2.0158, Accuracy: 0.3838, F1 score: 0.2852, HS: 0.1692
Valid Trial [8/200], LR: 0.00075, W: 0.01, Avg Loss: 3.7632, Accuracy: 0.5242, F1 score: 0.3422, HS: 0.2093

Train Trial [9/200], LR: 0.00075, W: 0.01, Avg Loss: 2.1095, Accuracy: 0.4912, F1 score: 0.3218, HS: 0.1984
Valid Trial [9/200], LR: 0.00075, W: 0.01, Avg Loss: 3.2053, Accuracy: 0.4315, F1 score: 0.3116, HS: 0.1888

Train Trial [10/200], LR: 0.00075, W: 0.01, Avg Loss: 1.9107, Accuracy: 0.4491, F1 score: 0.3104, HS: 0.1935
Valid Trial [10/200], LR: 0.00075, W: 0.01, Avg Loss: 3.4860, Accuracy: 0.4670, F1 score: 0.3223, HS: 0.1970

Train Trial [11/200], LR: 0.00075, W: 0.01, Avg Loss: 1.8635, Accuracy: 0.4919, F1 score: 0.3227, HS: 0.2002
Valid Trial [11/200], LR: 0.00075, W: 0.01, Avg Loss: 3.4303, Accuracy: 0.5192, F1 score: 0.3478, HS: 0.2127

Train Trial [12/200], LR: 0.00075, W: 0.01, Avg Loss: 1.8034, Accuracy: 0.5015, F1 score: 0.3316, HS: 0.2084
Valid Trial [12/200], LR: 0.00075, W: 0.01, Avg Loss: 3.1486, Accuracy: 0.4995, F1 score: 0.3353, HS: 0.2044

Train Trial [13/200], LR: 0.00075, W: 0.01, Avg Loss: 1.6629, Accuracy: 0.5287, F1 score: 0.3431, HS: 0.2116
Valid Trial [13/200], LR: 0.00075, W: 0.01, Avg Loss: 3.3471, Accuracy: 0.5962, F1 score: 0.3772, HS: 0.2405

Train Trial [14/200], LR: 0.00075, W: 0.01, Avg Loss: 1.5917, Accuracy: 0.6186, F1 score: 0.3887, HS: 0.2532
Valid Trial [14/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 3.5333, Accuracy: 0.5730, F1 score: 0.3651, HS: 0.2299

Train Trial [15/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.5704, Accuracy: 0.6040, F1 score: 0.3803, HS: 0.2468
Valid Trial [15/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 3.0780, Accuracy: 0.5981, F1 score: 0.3886, HS: 0.2445

Train Trial [16/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.4505, Accuracy: 0.6146, F1 score: 0.3913, HS: 0.2517
Valid Trial [16/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 3.8954, Accuracy: 0.6548, F1 score: 0.4147, HS: 0.2689

Train Trial [17/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.4443, Accuracy: 0.6648, F1 score: 0.4228, HS: 0.2780
Valid Trial [17/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 3.6535, Accuracy: 0.6420, F1 score: 0.4020, HS: 0.2609

Train Trial [18/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.4068, Accuracy: 0.6554, F1 score: 0.4164, HS: 0.2744
Valid Trial [18/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 3.6112, Accuracy: 0.6149, F1 score: 0.3903, HS: 0.2502

Train Trial [19/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.2933, Accuracy: 0.6803, F1 score: 0.4358, HS: 0.2949
Valid Trial [19/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 4.0204, Accuracy: 0.6874, F1 score: 0.4205, HS: 0.2933

Train Trial [20/200], LR: 0.0005625, W: 0.01, Avg Loss: 1.3429, Accuracy: 0.7101, F1 score: 0.4594, HS: 0.3181
Valid Trial [20/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 3.8197, Accuracy: 0.6859, F1 score: 0.4328, HS: 0.3019

Train Trial [21/200], LR: 0.0004219, W: 0.01, Avg Loss: 1.1687, Accuracy: 0.7308, F1 score: 0.4792, HS: 0.3342
Valid Trial [21/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 4.8184, Accuracy: 0.7066, F1 score: 0.4339, HS: 0.2913

Train Trial [22/200], LR: 0.0004219, W: 0.01, Avg Loss: 1.2376, Accuracy: 0.7305, F1 score: 0.4789, HS: 0.3338
